iter	Passed	Remaining
0	8	8030
1	14	7322
2	22	7475
3	28	7046
4	34	6866
5	39	6503
6	43	6191
7	49	6122
8	52	5824
9	56	5629
10	60	5401
11	64	5292
12	68	5238
13	72	5139
14	76	5028
15	80	4962
16	84	4910
17	89	4858
18	93	4837
19	98	4818
20	102	4769
21	106	4722
22	110	4677
23	113	4633
24	118	4622
25	122	4589
26	125	4539
27	130	4519
28	134	4518
29	138	4493
30	143	4490
31	147	4465
32	151	4441
33	156	4438
34	160	4414
35	164	4412
36	168	4392
37	173	4393
38	177	4379
39	181	4364
40	185	4349
41	189	4332
42	193	4314
43	198	4312
44	202	4296
45	205	4264
46	210	4264
47	214	4261
48	218	4246
49	223	4249
50	228	4252
51	233	4253
52	237	4240
53	241	4226
54	245	4225
55	250	4227
56	255	4224
57	259	4211
58	263	4210
59	267	4197
60	272	4187
61	276	4189
62	281	4191
63	286	4190
64	290	4179
65	293	4156
66	296	4135
67	301	4134
68	305	4122
69	310	4120
70	314	4109
71	318	4099
72	322	4091
73	326	4083
74	330	4074
75	335	4075
76	338	4057
77	341	4040
78	345	4031
79	349	4013
80	353	4012
81	358	4011
82	362	4001
83	366	3992
84	369	3977
85	373	3970
86	378	3971
87	383	3972
88	387	3971
89	392	3970
90	396	3960
91	401	3959
92	405	3950
93	408	3935
94	412	3926
95	416	3917
96	420	3910
97	424	3904
98	429	3904
99	432	3891
100	435	3877
101	440	3876
102	444	3869
103	447	3856
104	452	3854
105	456	3852
106	461	3850
107	465	3842
108	469	3837
109	473	3830
110	477	3825
111	481	3818
112	485	3811
113	490	3810
114	493	3797
115	498	3796
116	502	3789
117	505	3781
118	510	3779
119	514	3772
120	519	3772
121	523	3766
122	528	3769
123	532	3763
124	536	3757
125	541	3758
126	545	3752
127	549	3745
128	554	3744
129	559	3743
130	562	3731
131	566	3725
132	570	3720
133	574	3715
134	579	3715
135	583	3709
136	587	3702
137	591	3694
138	595	3688
139	599	3681
140	603	3679
141	607	3672
142	612	3670
143	615	3661
144	619	3652
145	624	3651
146	629	3650
147	633	3644
148	637	3642
149	641	3636
150	645	3630
151	649	3624
152	653	3619
153	658	3616
154	663	3614
155	667	3613
156	672	3608
157	676	3603
158	679	3595
159	683	3587
160	688	3586
161	692	3581
162	696	3575
163	700	3569
